id,name,latitude,longitude,neighbourhood_cleansed,city,property_type,room_type,bedrooms,bathrooms,price,host_since,host_is_superhost,guests_included,minimum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
24907910,2 BR Private Apartment Under 3 Miles to Downtown,35.639590000000005,-82.57379,28804,Asheville,Apartment,Entire home/apt,2,1.0,150.0,2018-04-16,f,4,2,27,95.0,t,moderate
24916446,Peaceful home & walk to downtown West Asheville,35.56993,-82.57268,28806,Asheville,Guest suite,Entire home/apt,1,1.0,110.0,2011-06-24,t,1,1,103,96.0,t,strict_14_with_grace_period
24942698,Hidden Gem Minutes From The Biltmore House,35.55587,-82.47554000000001,28803,Asheville,House,Entire home/apt,3,2.5,155.0,2012-11-22,t,1,3,62,98.0,t,moderate
24945996,Tour the Blue Ridge Parkway from a Loft in the Countryside,35.45364,-82.56957,28704,Avery Creek,Loft,Entire home/apt,1,1.0,100.0,2016-02-10,t,4,2,100,100.0,t,moderate
25013010,Downtown Getaway + Modern Bungalow / FRONT SUITE,35.60355,-82.55703000000001,28801,Asheville,House,Private room,1,1.0,71.0,2013-06-27,t,2,1,90,98.0,t,strict_14_with_grace_period
25045172,Walk to Town in Historic West Asheville,35.57908,-82.60301,28806,Asheville,Guest suite,Entire home/apt,1,1.0,119.0,2015-08-24,t,2,2,63,98.0,t,strict_14_with_grace_period
25068792,Family Getaway - Close to Downtown!,35.63537,-82.61624,28804,Asheville,House,Entire home/apt,4,2.0,250.0,2015-01-31,t,6,2,112,98.0,t,moderate
25079309,(Awesome) Pretty-Good Space --#1,35.595009999999995,-82.50891,28805,Asheville,House,Private room,1,1.0,41.0,2014-06-11,f,1,1,16,99.0,f,flexible
25102981,Spacious and Private Guest Space Centrally Located,35.609,-82.50385,28805,Asheville,House,Private room,1,1.0,58.0,2017-06-15,t,1,1,28,98.0,t,flexible
25109693,The Bluebird Getaway,35.617540000000005,-82.57974,28806,Asheville,House,Entire home/apt,3,2.0,35.0,2014-06-01,t,1,2,44,97.0,t,strict_14_with_grace_period
25111932,Cozy Modern Camper & Canoe- Close to DT and Hiking,35.58303,-82.51212,28805,Asheville,Camper/RV,Entire home/apt,1,1.0,70.0,2010-08-01,f,2,1,25,98.0,f,moderate
25124933,(Awesome) Pretty-Good Space -- #2,35.59608,-82.50789,28805,Asheville,House,Shared room,1,1.0,24.0,2014-06-11,f,1,1,19,93.0,f,flexible
25128396,(Awesome) Pretty-Good Space - #3 (1&2 combined),35.59512,-82.50898000000001,28805,Asheville,House,Private room,1,1.0,50.0,2014-06-11,f,3,1,4,85.0,f,flexible
25132222,"Light, open home w/ chef's kitchen, screened porch",35.59768,-82.48334,28805,Asheville,House,Entire home/apt,4,3.5,399.0,2014-08-25,t,8,2,44,98.0,t,moderate
25135375,"Luxurious, private room close to everything.",35.5982,-82.48194000000001,28805,Asheville,House,Private room,1,1.0,125.0,2014-08-25,t,1,2,4,100.0,t,moderate
25135803,80 Lex : Apartment 202 : Iconic Downtown Location,35.59751,-82.55339000000001,28801,Asheville,Apartment,Entire home/apt,1,1.0,220.0,2018-03-30,t,1,3,85,100.0,t,strict_14_with_grace_period
