id,name,host_id,host_name,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,city,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,security_deposit,cleaning_fee,review_scores_rating,cancellation_policy
2213748,SUNSET SUITE IN LUX VILLA ~ DWTN 2M ~ WILDLIFE,1994122,Marc & Fay,3/23/2012,within an hour,100%,100%,t,Asheville,28805,35.60722,-82.53155,House,Private room,2,1,1,$30.00 ,$100.00 ,$75.00 ,99,strict_14_with_grace_period
2214960,"CityCHIC, Romantic, FIREPLACE, Kbed,  #1 Locay!",11297481,Julie,1/14/2014,within an hour,100%,99%,t,Asheville,28801,35.61054,-82.55334,House,Entire home/apt,2,1,1,$79.00 ,"$1,000.00 ",$150.00 ,98,strict_14_with_grace_period
2222067,Sassy Blue Room in Southslope,11336944,Sharon,1/15/2014,within an hour,100%,100%,t,Asheville,28801,35.58225,-82.55814,Guest suite,Entire home/apt,2,1,1,$85.00 ,$100.00 ,,97,strict_14_with_grace_period
2254521,The Mimosa Room/private entrance/private bath.,546222,Martha,4/30/2011,within a day,80%,50%,t,Asheville,28806,35.56893,-82.56834,Bungalow,Private room,2,1,1,$40.00 ,$0.00 ,$30.00 ,95,strict_14_with_grace_period
2283071,"Serene Cozy Getaway, Walk to West Avl.",4836597,Karen,1/24/2013,within a few hours,100%,96%,t,Asheville,28806,35.57816,-82.60315,House,Private room,1,1,1,$50.00 ,,$10.00 ,95,strict_14_with_grace_period
2295996,Charming Downtown,7535860,Rita,7/16/2013,within an hour,90%,100%,t,Asheville,28801,35.60207,-82.55885,House,Private room,2,1,1,$73.00 ,$0.00 ,$0.00 ,96,strict_14_with_grace_period
2296152,Victorian Cottage Downtown Green Rm,7535860,Rita,7/16/2013,within an hour,90%,100%,t,Asheville,28801,35.60403,-82.56101,House,Private room,2,1,1,$73.00 ,,,97,strict_14_with_grace_period
2326086,Downtown Artist Loft,2307713,Krista,5/6/2012,within an hour,100%,99%,t,Asheville,28801,35.59541,-82.55329,Loft,Entire home/apt,4,1,1,$169.00 ,$200.00 ,$79.00 ,99,strict_14_with_grace_period
2411109,Victorian Cottage Downtown Blue Rm,7535860,Rita,7/16/2013,within an hour,90%,100%,t,Asheville,28801,35.60048,-82.55759,House,Private room,2,1,1,$74.00 ,,,97,strict_14_with_grace_period
2432326,Heaven Zen (guest house),12432758,Theresa,2/20/2014,within an hour,100%,100%,t,Asheville,28804,35.6163,-82.55864,Bungalow,Entire home/apt,2,1,0,$77.00 ,,$35.00 ,98,moderate
